id,category,field_name,RegularMeetingCharge,CharterCharge,lat,lon,SiteLink,BookLink,BusBookLink,Reading,NearestStation,OtherInfo,lunch,num,where
23,0,BravePoint 台場店,3100~4800,(円/人)3500~4000,35.629080123746554,139.77660081591063,https://odaiba.brave-point.jp/,https://odaiba.brave-point.jp/yoyaku/,,ぶれいぶぽいんとだいばてん,ゆりかもめ お台場海浜公園駅,,,1,〒135-0091 東京都港区台場１丁目６−１ ５階 デックス東京ビーチ
24,3,SISTER,(男性)3800/(女性)3300,(平日のみ、10人までは)33000,35.927219691536706,139.74707911044712,https://sister-bf.com/index.html,,,しすたー,東武野田線 岩槻駅 / 東武スカイツリーライン 越谷駅,各種予約は電話から（TEL: 090-6545-8181）,,,〒339-0021 埼玉県さいたま市岩槻区末田１８４９
25,1,BATTLE,3500,(10人までは)33000,35.692426206217235,140.1118816593298,https://www.battle-airsoft.com/,https://www.battle-airsoft.com/%E5%90%84%E7%A8%AE%E4%BA%88%E7%B4%84/,https://www.battle-airsoft.com/%E7%84%A1%E6%96%99%E9%80%81%E8%BF%8E/,ばとる,京成本線 京成八千代台駅,,,1,〒262-0041 千葉県千葉市花見川区柏井町４７８−１
26,2,EDGE,(男性)3300/(女性)2000,(2nd Field/6人までは)21000,35.97708354335486,140.18239179329444,https://sgf-edge.net/,https://page.line.me/579qqnrb,https://page.line.me/579qqnrb,えっじ,常磐線 ひたち野うしく駅,各種予約はLINEから,,,〒300-1204 茨城県牛久市岡見町２３０３−２
27,2,小美鯖,(事前予約と会員証定時で2000円)4000,(15人までは)52500,36.18186250131002,140.37668621797,https://omisaba.com/,https://omisaba.com/reserve/,,おみさば,常磐線 石岡駅,バスの予約は定例会・貸し切りの予約画面で送迎希望と記入,,,〒311-3412 茨城県小美玉市川戸中原８６４
28,1,yaNex,(男性)4500/(女性)3500/(学生　*18～25、学生証提示)3500,(12人までは)39600,36.005938318214824,139.84056344713912,https://www.yanex.co/,https://www.yanex.co/form/,,やねっくす,東部アーバンパークライン 川間駅,送迎バス無し、東武アーバンパークライン川間駅北口⇒ バスで6分（￥220）バス停｢権現参道入口｣下車 徒歩10分,750,1,〒270-0237 千葉県野田市中里２６５５−１
29,1,ビーム,(男性)3700/(女性)3200,(Bフィールド8人まで)29600/(Cフィールド8人まで)29600,35.75705179991597,140.25187327784812,https://beam-sg.com/,https://beam-sg.com/%E5%AE%9A%E4%BE%8B%E4%BC%9A-%E4%BA%88%E7%B4%84%E3%83%95%E3%82%A9%E3%83%BC%E3%83%A02/,,びーむ,京成本線 京成酒々井駅,定例会・貸し切りどちらもシャワー無料(タオルは別途料金有り)。送迎は電話・メールから予約（TEL: 0476-33-4383）,,,〒270-1605 千葉県印西市平賀２２２７−１
30,2,RAID2,(昼食代込み)3000,(16人までは)48000,35.98198610442236,140.18287859933687,https://survival-game-raid2.com/,https://survival-game-raid2.com/reservation-acceptance/,,れいどつー,常磐線 ひたち野うしく駅,送迎なし、駐車場料金無料,,,〒300-1204 茨城県牛久市岡見町２８５５−７
31,2,battle free,3600,(10人までは)36000,36.14675608941452,139.77036502056737,http://battlefree.survival.jp/index.html,http://battlefree.survival.jp/yoyaku.html,,ばとるふりー,宇都宮線 栗橋駅 / 東武日光線 南栗橋駅,送迎なし、予約フォームが上手く動かない場合は電話から（TEL: 080-4886-8006）,,,〒306-0214 茨城県古河市高野内原３３２−１
32,2,H.G,1000,(5～10人までは)10000,36.25392125623696,140.46755184757185,https://hgfield2.amebaownd.com/,,,えいちじー,大洗鹿島線 小沼駅,送迎なし、物販は朝のみ、予約・問い合わせは電話かメール（TEL: 090-4057-8671）（email: h.gfield.sabage@gmail.com）,,,〒311-3136 茨城県東茨城郡茨城町宮ヶ崎１３３１
33,1,サバゲーパラダイス,(通常定例会)4000/(特殊定例会)5000,(平日、10人から)40000,35.658713797944245, 140.33867296233498,https://survivalgameparadise.com/,https://survivalgameparadise.com/teireikaiyoyaku.html,https://line.me/R/ti/p/@501fnphm,さばげーぱらだいす,総武本線 八街駅,弁当無し。送迎の予約はLINEから「お名前：'''''' 釣太郎ご連絡先：090-''''-'''' 人数：x名 日時：⚪月⚪日 8:00発（希望発車時間）」と送信,,1,〒289-1211 千葉県山武市大木４７０−１
34,2,TEDO,3500,(20人までは)70000,36.02094905740984,140.24512366381236,https://www.tedo-svgf.com/,https://www.tedo-svgf.com/reservation,,てど,常磐線 荒川沖駅,送迎なし、オプション(300円追加)でドリンクバーあり。お昼は海賊丼かカルビ丼を朝10時までに受付で注文可能(注文可能数に限りあり),鶏もも肉の海賊丼：900円、厚切りカルビ丼：1400円,2,〒300-0314 茨城県稲敷郡阿見町追原２３１５-１４
35,1,戦,(男性)3000/(女性)2000,(8人までは)28000,35.66717320342224,140.20313763121283,https://ikusaba.jimdoweb.com/,https://ikusaba.jimdoweb.com/%E8%B2%B8%E5%88%87%E4%BA%88%E7%B4%84/,https://ikusaba.jimdoweb.com/%E7%84%A1%E6%96%99%E9%80%81%E8%BF%8E/,いくさ,総武本線 物井駅,定例会は予約なし。送迎は物井駅西口ロータリーを8：40に出発。弁当は朝10時まで注文可能(700円),700,1,〒284-0037 千葉県四街道市中台２６８
36,1,SEALs,(男性)3500/(女性)3000,(Aフィールド10人までは)30000,35.633442482467416,140.1841059136629,https://seals.jp/,https://seals.jp/event/,,しーるず,総武本線 都賀駅 / 千葉モノレール 千城台北駅,送迎なし、千城台北駅から徒歩10分。,,1,〒264-0007 千葉県千葉市若葉区小倉町１３３６
37,1,オペレーションフリーダム,4000,(100人まで)108000,35.73948332978778,140.28879652190687,https://41px.jp/op-freedom/,,,おぺれーしょんふりーだむ,京成本線 京成酒々井駅,予約はすべてアプリ推奨(アプリ予約で500円引き)。写真2枚目の黄色い道は近隣住民への配慮の為通行禁止。個室セーフティが別途料金(4000円)で利用可能(写真3枚目),4コ入り唐揚げ弁当、カレー、親子丼、ロースかつ丼、特のりタル弁当(一律600),2,〒285-0905 千葉県印旛郡酒々井町上岩橋２２７６−３
38,1,NEGOYA BASE,(男性)3000/(女性)2000,(15人までは)37500,35.62782107929579,140.25831177606258,https://negoyabase.jp/,https://negoyabase.jp/contact/,,ねごやべーす,総武本線 八街駅,送迎なし,,,〒289-1136 千葉県八街市根古谷３−４
39,1,ASHロック・フィールド,(男性)3000/(女性)1000,(15人までは)45000,35.49847241898258,140.2339576332016,https://www.ash-rockfield.com/,https://www.ash-rockfield.com/-reservation.html,https://docs.google.com/forms/d/e/1FAIpQLSc20J0_PoqQIVLcxSPLztpcnmB2SC3P5ryG8SGs4pUVkxzIFg/viewform,あしゅろっくふぃーるど,外房線 誉田駅 or 土気駅,,,1,〒290-0162 千葉県市原市金剛地１４７５−４
40,1,PARADOX,(男性)3000/(女性)2500,(AorB半面、15人までは)45000,35.328848355341506,139.96499440118214,https://paradoxjp.com/,https://paradoxjp.com/calendar,,ぱらどっくす,内房線 君津駅,送迎なし。,,1,〒299-1101 千葉県君津市大鷲新田３
